TotalMinutesAsleep,Calories,TotalSteps,VeryActiveMinutes,SedentaryMinutes,BMI,AvgHeartRate
458.0,2044,2564,0,831,,68.92157638065112
531.0,1934,1320,0,806,,68.50609149676778
486.0,1963,1219,0,853,,69.08939820399411
363.0,2009,2483,0,937,,66.8635228848821
528.0,2188,3147,0,744,,69.61815840309079
391.0,2419,4068,1,817,,70.26147822992051
339.0,2748,5245,8,795,,77.82583837273226
423.0,2067,1758,0,900,,68.79205329526529
402.0,2780,6157,0,714,,76.701621506294
398.0,3101,8360,6,634,,80.91153025710116
343.0,2896,7174,10,749,,81.46464198625581
503.0,1962,1619,0,834,,67.81017067223964
415.0,2015,1831,0,916,,67.40391870512353
516.0,2297,2421,0,739,,74.37193973634652
439.0,2067,2283,0,848,,74.97814661134163
58.0,2684,16589,10,1148,22.6499996185303,85.45752875522176
355.0,2239,9356,0,751,25.321098102018,59.37717466945024
58.0,2046,156,0,450,25.9012834333956,73.61794782077226
